import_schema_version,assessment_id,assessment_version_id,source_id,source_version_id,source_path,source_content_sha256,session_no,assessment_class,activation_rule,answer_release_rule,time_limit_seconds,item_id,item_version_id,item_order,outcome_ids,demand,difficulty,item_time_seconds,prompt,response_type,rationale_required,rationale_min_words,rationale_max_words,shuffle_options,volatile,stale_check_rule,accessible_artifact_id,accessible_text,accessible_table_json,option_id,option_order,option_text
mu-lms-assessment-import/1.0,quiz_s5_workflow-control,S5-SQ-v1,lms.course.session-05.surprise-quiz-student,S5-SQ-v1,lms/course/session-05/assessment/surprise-quiz-student.md,4a7e709dbc3295500a0d248166e4d81a58e21b93d9bc089cce2ebf220a473d4e,5,counted_surprise_if_activated,"dormant by default; when armed, runs 00–07 and replaces retrieval without shortening assessed build work",attempt receipt only until the last participating section using S5-SQ-v1 closes,420,S5-Q01,S5-Q01@1,1,S5-O4,apply,medium,50,A webhook delivers the same paid-plan inquiry twice because the sender did not receive the first response. Which design most directly prevents two outreach actions?,single_choice,False,,,True,False,deterministic MCQ,,,,S5-Q01-ROUTER-FIRST,1,Put the outreach route first in the router
mu-lms-assessment-import/1.0,quiz_s5_workflow-control,S5-SQ-v1,lms.course.session-05.surprise-quiz-student,S5-SQ-v1,lms/course/session-05/assessment/surprise-quiz-student.md,4a7e709dbc3295500a0d248166e4d81a58e21b93d9bc089cce2ebf220a473d4e,5,counted_surprise_if_activated,"dormant by default; when armed, runs 00–07 and replaces retrieval without shortening assessed build work",attempt receipt only until the last participating section using S5-SQ-v1 closes,420,S5-Q01,S5-Q01@1,1,S5-O4,apply,medium,50,A webhook delivers the same paid-plan inquiry twice because the sender did not receive the first response. Which design most directly prevents two outreach actions?,single_choice,False,,,True,False,deterministic MCQ,,,,S5-Q01-DELAY,2,Add a five-second delay before outreach
mu-lms-assessment-import/1.0,quiz_s5_workflow-control,S5-SQ-v1,lms.course.session-05.surprise-quiz-student,S5-SQ-v1,lms/course/session-05/assessment/surprise-quiz-student.md,4a7e709dbc3295500a0d248166e4d81a58e21b93d9bc089cce2ebf220a473d4e,5,counted_surprise_if_activated,"dormant by default; when armed, runs 00–07 and replaces retrieval without shortening assessed build work",attempt receipt only until the last participating section using S5-SQ-v1 closes,420,S5-Q01,S5-Q01@1,1,S5-O4,apply,medium,50,A webhook delivers the same paid-plan inquiry twice because the sender did not receive the first response. Which design most directly prevents two outreach actions?,single_choice,False,,,True,False,deterministic MCQ,,,,S5-Q01-IDEMPOTENCY,3,Check a stable event idempotency key before outreach and record its state
mu-lms-assessment-import/1.0,quiz_s5_workflow-control,S5-SQ-v1,lms.course.session-05.surprise-quiz-student,S5-SQ-v1,lms/course/session-05/assessment/surprise-quiz-student.md,4a7e709dbc3295500a0d248166e4d81a58e21b93d9bc089cce2ebf220a473d4e,5,counted_surprise_if_activated,"dormant by default; when armed, runs 00–07 and replaces retrieval without shortening assessed build work",attempt receipt only until the last participating section using S5-SQ-v1 closes,420,S5-Q01,S5-Q01@1,1,S5-O4,apply,medium,50,A webhook delivers the same paid-plan inquiry twice because the sender did not receive the first response. Which design most directly prevents two outreach actions?,single_choice,False,,,True,False,deterministic MCQ,,,,S5-Q01-RETRY-SUCCESS,4,Retry the outreach module when it succeeds
mu-lms-assessment-import/1.0,quiz_s5_workflow-control,S5-SQ-v1,lms.course.session-05.surprise-quiz-student,S5-SQ-v1,lms/course/session-05/assessment/surprise-quiz-student.md,4a7e709dbc3295500a0d248166e4d81a58e21b93d9bc089cce2ebf220a473d4e,5,counted_surprise_if_activated,"dormant by default; when armed, runs 00–07 and replaces retrieval without shortening assessed build work",attempt receipt only until the last participating section using S5-SQ-v1 closes,420,S5-Q02,S5-Q02@1,2,S5-O2|S5-O4,apply,easy,40,A lead payload has an invalid email address. Consent is present. What should the workflow do?,single_choice,False,,,True,False,deterministic MCQ,,,,S5-Q02-INVENT-EMAIL,1,Invent a safe-looking address so the run succeeds
mu-lms-assessment-import/1.0,quiz_s5_workflow-control,S5-SQ-v1,lms.course.session-05.surprise-quiz-student,S5-SQ-v1,lms/course/session-05/assessment/surprise-quiz-student.md,4a7e709dbc3295500a0d248166e4d81a58e21b93d9bc089cce2ebf220a473d4e,5,counted_surprise_if_activated,"dormant by default; when armed, runs 00–07 and replaces retrieval without shortening assessed build work",attempt receipt only until the last participating section using S5-SQ-v1 closes,420,S5-Q02,S5-Q02@1,2,S5-O2|S5-O4,apply,easy,40,A lead payload has an invalid email address. Consent is present. What should the workflow do?,single_choice,False,,,True,False,deterministic MCQ,,,,S5-Q02-RETRY-INVALID,2,Retry the same payload until the email becomes valid
mu-lms-assessment-import/1.0,quiz_s5_workflow-control,S5-SQ-v1,lms.course.session-05.surprise-quiz-student,S5-SQ-v1,lms/course/session-05/assessment/surprise-quiz-student.md,4a7e709dbc3295500a0d248166e4d81a58e21b93d9bc089cce2ebf220a473d4e,5,counted_surprise_if_activated,"dormant by default; when armed, runs 00–07 and replaces retrieval without shortening assessed build work",attempt receipt only until the last participating section using S5-SQ-v1 closes,420,S5-Q02,S5-Q02@1,2,S5-O2|S5-O4,apply,easy,40,A lead payload has an invalid email address. Consent is present. What should the workflow do?,single_choice,False,,,True,False,deterministic MCQ,,,,S5-Q02-QUARANTINE,3,Quarantine the event with a validation reason and owner
mu-lms-assessment-import/1.0,quiz_s5_workflow-control,S5-SQ-v1,lms.course.session-05.surprise-quiz-student,S5-SQ-v1,lms/course/session-05/assessment/surprise-quiz-student.md,4a7e709dbc3295500a0d248166e4d81a58e21b93d9bc089cce2ebf220a473d4e,5,counted_surprise_if_activated,"dormant by default; when armed, runs 00–07 and replaces retrieval without shortening assessed build work",attempt receipt only until the last participating section using S5-SQ-v1 closes,420,S5-Q02,S5-Q02@1,2,S5-O2|S5-O4,apply,easy,40,A lead payload has an invalid email address. Consent is present. What should the workflow do?,single_choice,False,,,True,False,deterministic MCQ,,,,S5-Q02-BYPASS,4,Send it down the warm-lead route without email
mu-lms-assessment-import/1.0,quiz_s5_workflow-control,S5-SQ-v1,lms.course.session-05.surprise-quiz-student,S5-SQ-v1,lms/course/session-05/assessment/surprise-quiz-student.md,4a7e709dbc3295500a0d248166e4d81a58e21b93d9bc089cce2ebf220a473d4e,5,counted_surprise_if_activated,"dormant by default; when armed, runs 00–07 and replaces retrieval without shortening assessed build work",attempt receipt only until the last participating section using S5-SQ-v1 closes,420,S5-Q03,S5-Q03@1,3,S5-O2|S5-O4,analyse,medium,55,A temporary dependency times out while creating a draft. Which response best preserves the work without retrying forever?,single_choice,False,,,True,False,deterministic MCQ,,,,S5-Q03-SKIP-SUCCESS,1,Skip the bundle and mark the run successful
mu-lms-assessment-import/1.0,quiz_s5_workflow-control,S5-SQ-v1,lms.course.session-05.surprise-quiz-student,S5-SQ-v1,lms/course/session-05/assessment/surprise-quiz-student.md,4a7e709dbc3295500a0d248166e4d81a58e21b93d9bc089cce2ebf220a473d4e,5,counted_surprise_if_activated,"dormant by default; when armed, runs 00–07 and replaces retrieval without shortening assessed build work",attempt receipt only until the last participating section using S5-SQ-v1 closes,420,S5-Q03,S5-Q03@1,3,S5-O2|S5-O4,analyse,medium,55,A temporary dependency times out while creating a draft. Which response best preserves the work without retrying forever?,single_choice,False,,,True,False,deterministic MCQ,,,,S5-Q03-BOUNDED-RECOVERY,2,"Use bounded retry/incomplete execution, then assign manual recovery on exhaustion"
